Intersection ID,Overlap Proportion
Intersection of Polygon 0 with 27 x 40,1.0,
Intersection of Polygon 0 with 27 x 41,1.0,
Intersection of Polygon 0 with 27 x 42,1.0,
Intersection of Polygon 0 with 27 x 43,1.0,
Intersection of Polygon 0 with 27 x 44,1.0,
Intersection of Polygon 0 with 27 x 45,1.0,
Intersection of Polygon 0 with 27 x 46,1.0,
Intersection of Polygon 0 with 27 x 47,1.0,
Intersection of Polygon 0 with 27 x 48,1.0,
Intersection of Polygon 0 with 27 x 49,1.0,
Intersection of Polygon 0 with 28 x 29,0.01946159427249661,
Intersection of Polygon 0 with 28 x 30,0.9721635715023987,
Intersection of Polygon 0 with 28 x 31,1.0,
Intersection of Polygon 0 with 28 x 32,1.0,
Intersection of Polygon 0 with 28 x 33,1.0,
Intersection of Polygon 0 with 28 x 34,1.0,
Intersection of Polygon 0 with 28 x 35,1.0,
Intersection of Polygon 0 with 28 x 36,1.0,
Intersection of Polygon 0 with 28 x 37,1.0,
Intersection of Polygon 0 with 28 x 38,1.0,
Intersection of Polygon 0 with 28 x 39,1.0,
Intersection of Polygon 0 with 28 x 40,1.0,
Intersection of Polygon 0 with 28 x 41,1.0,
Intersection of Polygon 0 with 28 x 42,1.0,
Intersection of Polygon 0 with 28 x 43,1.0,
Intersection of Polygon 0 with 28 x 44,1.0,
Intersection of Polygon 0 with 28 x 45,1.0,
Intersection of Polygon 0 with 28 x 46,1.0,
Intersection of Polygon 0 with 28 x 47,1.0,
Intersection of Polygon 0 with 28 x 48,1.0,
Intersection of Polygon 0 with 28 x 49,1.0,
Intersection of Polygon 0 with 29 x 29,0.17331807798705273,
Intersection of Polygon 0 with 29 x 30,1.0,
Intersection of Polygon 0 with 29 x 31,1.0,
Intersection of Polygon 0 with 29 x 32,1.0,
Intersection of Polygon 0 with 29 x 33,1.0,
Intersection of Polygon 0 with 29 x 34,1.0,
Intersection of Polygon 0 with 29 x 35,1.0,
Intersection of Polygon 0 with 29 x 36,1.0,
Intersection of Polygon 0 with 29 x 37,1.0,
Intersection of Polygon 0 with 29 x 38,1.0,
Intersection of Polygon 0 with 29 x 39,1.0,
Intersection of Polygon 0 with 29 x 40,1.0,
Intersection of Polygon 0 with 29 x 41,1.0,
Intersection of Polygon 0 with 29 x 42,1.0,
Intersection of Polygon 0 with 29 x 43,1.0,
Intersection of Polygon 0 with 29 x 44,1.0,
Intersection of Polygon 0 with 29 x 45,1.0,
Intersection of Polygon 0 with 29 x 46,1.0,
Intersection of Polygon 0 with 29 x 47,1.0,
Intersection of Polygon 0 with 29 x 48,1.0,
Intersection of Polygon 0 with 29 x 49,1.0,
Intersection of Polygon 0 with 30 x 29,0.3424299230599061,
Intersection of Polygon 0 with 30 x 30,1.0,
Intersection of Polygon 0 with 30 x 31,1.0,
Intersection of Polygon 0 with 30 x 32,1.0,
Intersection of Polygon 0 with 30 x 33,1.0,
Intersection of Polygon 0 with 30 x 34,1.0,
Intersection of Polygon 0 with 30 x 35,1.0,
Intersection of Polygon 0 with 30 x 36,1.0,
Intersection of Polygon 0 with 30 x 37,1.0,
Intersection of Polygon 0 with 30 x 38,1.0,
Intersection of Polygon 0 with 30 x 39,1.0,
Intersection of Polygon 0 with 30 x 40,1.0,
Intersection of Polygon 0 with 30 x 41,1.0,
Intersection of Polygon 0 with 30 x 42,1.0,
Intersection of Polygon 0 with 30 x 43,1.0,
Intersection of Polygon 0 with 30 x 44,1.0,
Intersection of Polygon 0 with 30 x 45,1.0,
Intersection of Polygon 0 with 30 x 46,1.0,
Intersection of Polygon 0 with 30 x 47,1.0,
Intersection of Polygon 0 with 30 x 48,1.0,
Intersection of Polygon 0 with 30 x 49,1.0,
Intersection of Polygon 0 with 31 x 29,0.5421891171959672,
Intersection of Polygon 0 with 31 x 30,1.0,
Intersection of Polygon 0 with 31 x 31,1.0,
Intersection of Polygon 0 with 31 x 32,1.0,
Intersection of Polygon 0 with 31 x 33,1.0,
Intersection of Polygon 0 with 31 x 34,1.0,
Intersection of Polygon 0 with 31 x 35,1.0,
Intersection of Polygon 0 with 31 x 36,1.0,
Intersection of Polygon 0 with 31 x 37,1.0,
Intersection of Polygon 0 with 31 x 38,1.0,
Intersection of Polygon 0 with 31 x 39,1.0,
Intersection of Polygon 0 with 31 x 40,1.0,
Intersection of Polygon 0 with 31 x 41,1.0,
Intersection of Polygon 0 with 31 x 42,1.0,
Intersection of Polygon 0 with 31 x 43,1.0,
